Gene	Cell Type	General Cell Type
PAQR5	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LMCD1-AS1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
P4HA1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
EMX2OS	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PRICKLE2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LUC7L	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
FGD4	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ECHDC2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ITCH	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ZC3H6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ZHX3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TANC2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
DIP2B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
KIF26B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CFDP1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
NFKBIA	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SEMA4D	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
EIF5B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ASXL1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
BAZ1B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PTPRG	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SRPK2	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ARID4A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RNF115	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
DEPTOR	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
HMGB1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RORA	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CREBBP	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
ZFC3H1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PLEKHA5	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
MGEA5	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
DPH6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TRA2B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PPP2R5E	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TBCA	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
USP8	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
AKAP13	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
EGR1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
YTHDC1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
CHD6	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SCAF8	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
XPC	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PRKCE	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PAX8	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
RBM39	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
PDE10A	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
LINC00271	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
FOS	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
TNRC6B	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
SPPL3	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
GOLGB1	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
GAS5	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
MET	Proximal Tubule Epithelial Cells - Stress/Inflam	Epithelial
FGA	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
FGB	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
AGT	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
RP13-143G15.4	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SERPINF2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
PDZK1IP1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SLC34A2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
C1orf186	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SERPINE2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
UNC5CL	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
TNFSF10	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
PRUNE2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CDH6	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
DOK6	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
GBP2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
MGST1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
GCLC	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SQSTM1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
RNF213	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
RARRES3	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
APOL6	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
LRP2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
AOX1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
FTL	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
LINC01320	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CXCL14	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SPP1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
HIST1H2AC	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
RP5-887A10.1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
PLCH1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SLC22A2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SMIM2-AS1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
UGCG	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SOD2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
MT1G	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
TINAG	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
ODC1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
GULP1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
MIOX	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
GATM	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
PTPRK	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
FNIP2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SYNE2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
LPGAT1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
HSPD1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SEMA6A	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
TKT	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CNTN4	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
RASSF4	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SLC27A2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
ACMSD	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
IL1R1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
ATM	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
TXNRD1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
HSPA5	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
GLRX	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CTSB	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
NRG1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
ATP11A	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
LINC00278	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CRYAB	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
LRRK2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
RALGAPA2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
PARP14	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
NRP1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
MPP6	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
TAF1D	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CFI	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
MAST4	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
ALDH6A1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SERPINA1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CTSL	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
FBXL7	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
HSP90AA1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
RRBP1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
TGM2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
STAT1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
KRT18	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
HINT1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
ADAMTS9-AS1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
EPS8	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
ZNF462	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
ZBTB38	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SNX13	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
PNRC1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
ABCC4	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
TFPI	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
NFIA	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
NLGN1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
HOOK1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SPTLC3	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SLC13A1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
RP11-123O10.4	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
HLA-E	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
VMP1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
MSRA	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
C6orf62	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
LAPTM4A	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SLC3A1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
NEAT1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SIPA1L1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
RPL27	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
VPS13A	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
FTH1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
PEBP1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
ASH1L	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
TMBIM6	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
MAML2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
ITGB8	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
MACC1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
RPLP0	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CD59	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
TMSB10	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
PTGR1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
ZBTB20	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
GPX3	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SVIL	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
HSP90AB1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
RPL18	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CLIC4	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
FGGY	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CALM1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
KCNIP4	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
DICER1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SKAP2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
DNAJC1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
FMNL2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
WWTR1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
RNF19A	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CNKSR3	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CLU	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CNDP2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CYB5A	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CANX	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
PLSCR1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
AGAP1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
PLEKHA1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
FAU	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CHD1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
NT5C2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
ZNF292	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
RPS16	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CTSH	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
PHLDB2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
COBL	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
NUFIP2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CD24	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
AKAP12	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CCNL1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CNN3	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
ARHGEF3	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
AHI1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
BTG1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
FCHO2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SSBP2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
RPS19	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SPATS2L	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
L3MBTL4	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CIB1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
TAX1BP1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
RPS23	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SPAG9	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
PITPNC1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
KIF21A	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
TRPS1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
SOD1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
TM9SF3	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CCT6A	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
RPS15	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
OCIAD1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
NCKAP5	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
LL22NC03-2H8.5	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
GALNT14	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
RP11-33B1.1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
FOXP2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
MACF1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
ENO1	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
EZR	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
CAB39	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
HSPA9	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
RPS20	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
FAM135A	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
ZFAND5	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
TMTC2	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
ASCC3	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
ARHGAP5	Proximal Tubule Epithelial Cells - Fibrinogen+ (S3)	Epithelial
MT1G	Proximal Tubule Epithelial Cells (S3)	Epithelial
CXCL14	Proximal Tubule Epithelial Cells (S3)	Epithelial
PDZK1IP1	Proximal Tubule Epithelial Cells (S3)	Epithelial
MT1E	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPLP1	Proximal Tubule Epithelial Cells (S3)	Epithelial
AQP1	Proximal Tubule Epithelial Cells (S3)	Epithelial
TMSB10	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPS23	Proximal Tubule Epithelial Cells (S3)	Epithelial
GATM	Proximal Tubule Epithelial Cells (S3)	Epithelial
ANPEP	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPL34	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPS8	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPS19	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPL13	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPS28	Proximal Tubule Epithelial Cells (S3)	Epithelial
GPX3	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPL21	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPL13A	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPLP2	Proximal Tubule Epithelial Cells (S3)	Epithelial
FTL	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPS20	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPS12	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPS21	Proximal Tubule Epithelial Cells (S3)	Epithelial
ATP5E	Proximal Tubule Epithelial Cells (S3)	Epithelial
CDH6	Proximal Tubule Epithelial Cells (S3)	Epithelial
C1orf186	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPS6	Proximal Tubule Epithelial Cells (S3)	Epithelial
TPT1	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPL35	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPS16	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPL37A	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPS27A	Proximal Tubule Epithelial Cells (S3)	Epithelial
UGT2B7	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPL37	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPS14	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPS24	Proximal Tubule Epithelial Cells (S3)	Epithelial
AKAP12	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPL23	Proximal Tubule Epithelial Cells (S3)	Epithelial
SERF2	Proximal Tubule Epithelial Cells (S3)	Epithelial
FTH1	Proximal Tubule Epithelial Cells (S3)	Epithelial
ALDOB	Proximal Tubule Epithelial Cells (S3)	Epithelial
COX7C	Proximal Tubule Epithelial Cells (S3)	Epithelial
TPM1	Proximal Tubule Epithelial Cells (S3)	Epithelial
HLA-A	Proximal Tubule Epithelial Cells (S3)	Epithelial
ITGB8	Proximal Tubule Epithelial Cells (S3)	Epithelial
CTSB	Proximal Tubule Epithelial Cells (S3)	Epithelial
EEF1A1	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPS25	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPL32	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPS7	Proximal Tubule Epithelial Cells (S3)	Epithelial
C11orf54	Proximal Tubule Epithelial Cells (S3)	Epithelial
DLGAP1	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPL38	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPL27	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPS18	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPL9	Proximal Tubule Epithelial Cells (S3)	Epithelial
PPFIBP1	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPL35A	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPL24	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPL27A	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPS13	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPL11	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPS9	Proximal Tubule Epithelial Cells (S3)	Epithelial
SDC4	Proximal Tubule Epithelial Cells (S3)	Epithelial
MT2A	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPL8	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPS17	Proximal Tubule Epithelial Cells (S3)	Epithelial
FAM134B	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPL31	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPS15	Proximal Tubule Epithelial Cells (S3)	Epithelial
SLC17A1	Proximal Tubule Epithelial Cells (S3)	Epithelial
CALD1	Proximal Tubule Epithelial Cells (S3)	Epithelial
KLF6	Proximal Tubule Epithelial Cells (S3)	Epithelial
RPL6	Proximal Tubule Epithelial Cells (S3)	Epithelial
PTMA	Proximal Tubule Epithelial Cells (S3)	Epithelial
