genes,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000280099.1;AL603750.1,AL603750.1,0.578486173230855,1.58190033014066,3.42160941100536,0.00417378754969215,0.00969479454261309,-2.48370035808426
ENSG00000147118.11;ZNF182,ZNF182,0.363882993103061,3.64768701918747,3.67726565821246,0.002517154253466,0.00625585309210318,-2.48502185928282
ENSG00000022840.15;RNF10,RNF10,0.275096672099889,7.2168355747721,4.0172027069501,0.00129149972863657,0.00349845649534822,-2.48642607304603
ENSG00000176340.3;COX8A,COX8A,0.366013279779056,6.0221055181313,3.92406948779962,0.0015493914976026,0.00410385073959747,-2.48662853031905
ENSG00000114638.7;UPK1B,UPK1B,0.686924093304986,1.46967592571497,3.40791929430255,0.00428857217161782,0.00993411928817451,-2.48675815243837
ENSG00000279352.1;AC006557.6,AC006557.6,0.403797605957046,3.82865501637691,3.67262921214795,0.00254028911573242,0.00630580640448119,-2.48771469636642
ENSG00000152404.15;CWF19L2,CWF19L2,0.354661857632388,4.94015621866354,3.80502155466889,0.0019571215888611,0.00503469268244175,-2.48906440761741
ENSG00000142235.9;LMTK3,LMTK3,1.6177418912552,-0.590114847591199,3.12791805248473,0.00747046161205139,0.016110875730338,-2.48991283742832
ENSG00000155275.18;TRMT44,TRMT44,-0.487998494493203,3.65309380845325,-3.65759591485792,0.00261679270154267,0.00646271018529096,-2.49113005331156
ENSG00000108666.9;C17orf75,C17orf75,0.481067418880323,4.55404371854474,3.76952878124804,0.00209865743279284,0.00534743744243534,-2.49368348410129
ENSG00000261094.2;AC007066.2,AC007066.2,-0.740002639666401,1.27627653520775,-3.34599894956861,0.00484861692927003,0.0110523455536608,-2.49377353714619
ENSG00000150768.15;DLAT,DLAT,0.246571078473906,6.07568773306854,3.90461045072162,0.00160959399445516,0.00424250313517501,-2.49638176654021
ENSG00000169994.18;MYO7B,MYO7B,-1.20687570320845,-1.09945936829614,-3.1257654397031,0.00750237793250716,0.0161671546624924,-2.49706007674674
ENSG00000262075.3;DKFZP434A062,DKFZP434A062,-2.33330929936544,-1.79089867267835,-3.00461966753992,0.00953434705060483,0.0198634784155106,-2.49840409511234
ENSG00000268220.1;AC008040.5,AC008040.5,1.24761422891032,-1.13499449656461,3.10489403062314,0.00781894078972257,0.0167509348518472,-2.49877126387548
ENSG00000001461.16;NIPAL3,NIPAL3,0.228318753174137,6.17057897761718,3.93117140744366,0.00152799519883104,0.00405712667568902,-2.49978247649413
ENSG00000139624.12;CERS5,CERS5,0.27439145577307,5.42079137268239,3.85162916202154,0.00178586579491218,0.00464229605832519,-2.50048172492285
ENSG00000196371.3;FUT4,FUT4,0.393780137685152,3.55067576185641,3.66600643028979,0.0025737091687388,0.00637720999200788,-2.50139364380138
ENSG00000176490.4;DIRAS1,DIRAS1,-1.52902537260296,-0.301230444126526,-3.20294239704718,0.00643857478487182,0.0141683621680679,-2.50525308142454
ENSG00000241057.2;AC004951.3,AC004951.3,-1.34863470985488,-1.0406239682109,-3.08295034848938,0.00816606659422731,0.0173892233992066,-2.50582670647088
ENSG00000167861.15;HID1,HID1,1.00518032371743,2.02988248956108,3.42920630670187,0.00411142787076645,0.00956480061248897,-2.50645253820577
ENSG00000176826.15;FKBP9P1,FKBP9P1,-0.979637538187914,0.710462374508812,-3.24934018988754,0.00587280653950509,0.0130727934005881,-2.51029189921263
ENSG00000180098.9;TRNAU1AP,TRNAU1AP,0.322499354025362,4.4642274179408,3.74263679836483,0.00221277933862519,0.00559787684884573,-2.5119879859501
ENSG00000146701.11;MDH2,MDH2,-0.328610559257572,6.96934414795873,-3.96971657065058,0.00141700953065138,0.00379665609948813,-2.51392221476695
ENSG00000163131.10;CTSS,CTSS,0.731930218500857,1.62111231744313,3.43508734313724,0.00406379641144129,0.00946644991303037,-2.51399432473068
ENSG00000156110.13;ADK,ADK,0.232809458376723,5.80192035733146,3.88054321811715,0.00168736074202769,0.00441634705451426,-2.51404132858772
ENSG00000237261.2;RF00017,RF00017,1.21241636020059,-0.24256984449027,3.17893329363311,0.00675234298238831,0.014755288486127,-2.51414923405843
ENSG00000258457.5;AL132780.2,AL132780.2,-1.08946597630304,0.511089843486339,-3.22379309352847,0.0061778951841499,0.0136643150905029,-2.51563536510492
ENSG00000273893.1;AL133520.1,AL133520.1,-1.01610339217195,-0.110338083839905,-3.16143799339516,0.0069905284151227,0.0152074104389848,-2.51630957985726
ENSG00000173950.15;XXYLT1,XXYLT1,-0.392929387449058,3.88689476137337,-3.65910620199753,0.00260900272939354,0.00645009303748567,-2.51740835880901
ENSG00000148483.8;TMEM236,TMEM236,0.593154123084852,2.05602741901259,3.46333802039295,0.0038426066932322,0.0090432878895191,-2.51858644971829
ENSG00000068438.14;FTSJ1,FTSJ1,-0.393474948338106,5.1205444094575,-3.79575165198434,0.00199312502208845,0.00511270751048652,-2.51889892032553
ENSG00000170356.9;OR2A20P,OR2A20P,-1.87549259201453,1.34012450622547,-3.34365728598079,0.00487117856888767,0.0110998706308979,-2.51940705499163
ENSG00000234129.7;AC073529.1,AC073529.1,0.919231143737909,0.709160647914297,3.28566683778641,0.00546470811996432,0.012286746610151,-2.52156645206028
ENSG00000117523.16;PRRC2C,PRRC2C,0.235708633859401,9.31947988107794,4.17000318362382,0.000959472913187896,0.00269829206306414,-2.52548904463071
ENSG00000203999.8;LINC01270,LINC01270,-0.788091692815449,1.52825271016353,-3.325500426817,0.00504972370220535,0.0114463543559898,-2.52804082348526
ENSG00000166529.14;ZSCAN21,ZSCAN21,0.373034995996174,2.98572710592875,3.5770222024824,0.00306836863186362,0.00743721761131341,-2.52876598920386
ENSG00000011295.15;TTC19,TTC19,0.320755757807342,5.47884716266999,3.84677636842749,0.00180296282698369,0.00468048187020973,-2.5300537140947
ENSG00000197826.11;CFAP299,CFAP299,1.32902316099991,-0.460469578051919,3.16165800474482,0.00698748183384829,0.0152024836944552,-2.53010707794941
ENSG00000130783.13;CCDC62,CCDC62,0.928606638296955,0.821942899226424,3.30323861752376,0.00527759930266944,0.0119059095258209,-2.5343332806777
ENSG00000204778.4;CBWD4P,CBWD4P,-2.24978330919039,-1.45380772511737,-3.01795594797671,0.00928633476511361,0.0194154293734268,-2.53463152694055
ENSG00000162438.11;CTRC,CTRC,0.500642483350145,2.5091269235564,3.50732675129069,0.00352204986071963,0.00839146026859686,-2.53546873926305
ENSG00000213453.3;FTH1P3,FTH1P3,1.20058139856802,-0.847447082985457,3.095848494066,0.00796022198403718,0.0169992922852959,-2.53560067097033
ENSG00000183598.3;HIST2H3D,HIST2H3D,-0.993870460921363,4.25494778138172,-3.68840773389008,0.00246242600429011,0.00613602604477982,-2.53666294976701
ENSG00000100568.10;VTI1B,VTI1B,0.303845112851218,5.96382454081129,3.88343212511459,0.00167782755076779,0.00439672222333273,-2.53685601268427
ENSG00000112182.14;BACH2,BACH2,-1.33663785584808,2.09675776222856,-3.44310415900115,0.00399975874799351,0.00934526665416796,-2.53797853573571
ENSG00000175322.11;ZNF519,ZNF519,0.387952248394989,4.49885997030281,3.7448824485871,0.00220301310749232,0.00557679818540303,-2.53820365805656
ENSG00000205639.10;MFSD2B,MFSD2B,0.901328928606827,1.1002803415628,3.32416456280526,0.00506311579619453,0.0114726982334467,-2.53843560324419
ENSG00000159166.13;LAD1,LAD1,-2.4225401033623,0.273227366552554,-3.05013300611154,0.00871390114295938,0.0183707138483901,-2.53911067988649
ENSG00000088179.8;PTPN4,PTPN4,-0.734500188130781,4.75633782985556,-3.73360703213063,0.0022524946349052,0.00568651073501646,-2.53944342603346
ENSG00000138347.15;MYPN,MYPN,0.41506580193678,2.74527847273263,3.60023827023531,0.00293072247180947,0.00713828983362938,-2.53949741191755
ENSG00000138081.20;FBXO11,FBXO11,-0.31881541168223,6.28923222040488,-3.9022335387181,0.00161710918874104,0.00425942441965331,-2.54220035037933
ENSG00000159479.16;MED8,MED8,0.292908526758895,4.92776319917468,3.78769339351003,0.00202496872440755,0.00518413322941151,-2.54250354501834
